Category,Name,Neighborhood,Recognition,What_to_order,Price_range,Reservation,Best_time,Notes
Michelin,Restaurant 360,Old Town · on the city walls,★ since 2018 · Michelin Plate before that · seasonal — opens 27 March 2026,"the tasting menu only — Chef Marijo Curić's Adriatic-meets-Asia line, ~10 courses",EUR 230–280 menu (pairing +120),"Essential — book 2–3 months ahead, weekend dinners go first",Dinner; sunset from the wall arches,"Built into the arches above the Old Port — service is exposed to the sea, dinners stop when Jugo blows hard. Closed Nov–March."
Fine dining,Stara Loža (Prijeko Palace),Old Town · Prijeko,Michelin Guide listed continuously since 2017,the chef's day-market menu; oysters from Mali Ston when in season; sea bass in salt crust,EUR 80–140 pp,Book the 16-seat rooftop 3+ weeks ahead,"Dinner, rooftop","Three spaces stacked vertically — street terrace, 3rd-floor salon, 16-seat rooftop. The one Prijeko Street address that is not a trap."
Classic fish,Proto Fish Restaurant,Old Town · off Stradun,Founded 1886 — oldest operating fish house in Dubrovnik · Michelin Guide recommended,king prawns alla buzara · Ston oysters · grilled sea bass on the bone · crni rižot,EUR 70–110 pp,Book 1 week ahead for the terrace,Lunch on the terrace; dinner indoors,Edward VIII dined here in 1936 with Wallis Simpson on the way to Lokrum — the Esculap group runs it now without breaking the recipe book.
Classic luxury,Nautika,Pile Gate,Set in the former Nautical School (1881); on the city's classic-luxury short list,lobster bisque · whole turbot for two · soufflé glacé Grand Marnier,EUR 120–180 pp,Essential for the sea-side terrace; 2+ weeks,Dinner at sunset — Bokar and Lovrijenac frame the view,The conservative anniversary dinner. Chef Mario Bunda. No experimentation; the room is the experience.
Old Dubrovnik,Kopun,Old Town · top of Jesuit Stairs,Michelin Plate · Marin Držić's 16th-c. capon recipe revived,"kopun (slow-roasted capon with oranges & honey, the Držić recipe) · šporki makaruli · arancini for dessert",EUR 45–70 pp,Book 5–7 days for the square terrace beside St Ignatius,Dinner — the square lights at dusk,The dishes you cannot order elsewhere. Beside the Boškovićeva (Jesuit) Stairs of Game of Thrones Walk-of-Shame fame.
Countryside konoba,Konoba Dubrava,Bosanka · Mount Srđ,The reference peka above the city — order 3 h ahead,lamb peka (3 h pre-order) · veal peka · octopus peka · house-made bread,EUR 35–55 pp,Call by 14:00 for an evening peka; 11:00 for lunch,Lunch with the Old Town view; sunset from the terrace,"The bell over embers, the right way: salt, rosemary, olive oil, time. Big-sky views down to Lokrum and across the islands."
Oyster bar,Bota Šare Mali Ston,Mali Ston · waterfront,On-quay oyster bar; runs its own boat trip from the dock,12 Mali Ston oysters with lemon and Pošip · oyster tempura · sea-bass crudo · mussels na buzaru,EUR 40–70 pp,Walk-in possible at lunch; book dinner Apr–Sep,"Lunch, then a boat run across the bay to the oyster beds",The PDO Ostrea edulis at one hour and zero kilometres from the boat. Bring your own bottle of Korčula Pošip if you prefer; corkage is friendly.
Oyster bar,Vila Koruna,Mali Ston · main square,One of the original Mali Ston oyster houses — operating since 1973,oysters au naturel · mussels na buzaru · octopus salad · grilled scampi,EUR 35–55 pp,Walk-in fine outside high summer,Lunch off-season; early dinner in summer,"Less polished than Bota Šare, more honest. Rooms above the restaurant if a Pelješac stay is the plan."
River konoba,Konoba Konavoski Dvori,Konavle · Ljuta river,Restored old watermill on the Ljuta — Esculap group · in the Michelin Guide,žaba na brodet (frog brodet) · river trout · lamb peka · asparagus in season,EUR 45–65 pp,Book 1 week for weekend lunches,Lunch — the cold river runs through the dining room,Waitstaff in traditional Konavle dress. The frog brodet is one of the dishes you cannot get in the city. The river is the air conditioning.
Family konoba,Konoba Atlantic Kitchen,Lapad,TripAdvisor Travellers' Choice — quiet local reputation since 2017,house-made pappardelle with prawn-walnut sauce · cuttlefish-ink ravioli · grilled tuna,EUR 30–45 pp,Book the small terrace 3–5 days ahead,Evening on the Lapad bay side,"When the Old Town is full of cruise traffic, this is where the city's professionals eat. Smaller portions, sharper plating than the konobas inside the walls."
