Category,Name,Neighborhood,Recognition,What_to_order,Price_range,Reservation,Best_time,Notes
Michelin,Le Carmin,Place Carnot,Michelin one star (held 2025 and 2026),"the market tasting menu — the kitchen does not run a fixed signature; lunch 50–59 €, dinner menus 118 / 148 / 178 €",EUR 50 lunch / EUR 118-178 menu,Essential,Lunch,"Chef Christophe Quéant, trained with Robuchon and Ducasse. An Henri-IV house on the central square, the menu rotating strictly with the market. Closed Sun, Mon, Tue lunch."
Michelin,Clos du Cèdre,Boulevard Maréchal-Foch,"Michelin one star (awarded 2022, held 2025 and 2026)","the seasonal tasting menu — terroir-anchored Burgundian, a wine list past 1,000 references",EUR 90-160 menu (verify),Essential,Dinner,"Chef Jordan Billan, inside the Hostellerie Cèdre & Spa under the great cedar that names it. Lunch Sat–Sun only; dinner Wed–Sun. Smart dress."
Traditional,Ma Cuisine,Passage Sainte-Hélène,"The reference Burgundian table in Beaune, since 1996","escargots à la bourguignonne, bœuf bourguignon, roast pigeon — à la carte only, no set menu",EUR 30-40 mains,Recommended,Dinner,"A discreet table down a passage, beloved for its cellar — the wine list opens around 50 € and runs very deep. Reopened February 2026 under chef Mathieu Escoffier. Dinner only, closed Sunday."
Contemporary,Bissoh,Rue Maufoux,The Japanese-Burgundian counter — sumibi-yaki on binchotan charcoal,aged Limousin and Miyazaki beef from the charcoal grill; the omakase counter,EUR 60-110,Essential,Dinner,Chef Mikihiko Sawahata cooks in front of ten seats. A very large French wine list behind a Japanese grill. Wed–Sun dinner; closed Mon–Tue.
Contemporary,Le Bistro de l'Hôtel,Rue Maufoux — Hôtel le Cep,House table of the five-star Hôtel le Cep,whole roast poularde de Bresse for two; Charolais côte de bœuf,EUR 45-90,Recommended,Dinner,"A small panelled room doing one thing supremely — the whole Bresse hen, carved at the table. The address for poultry without driving to the Bresse."
Traditional,Caves Madeleine,Faubourg Madeleine,Bistrot with the bones of a wine cellar — shared tables,hanger-steak tartare with hazelnut and Parmesan; the producer-sourced plat du jour,EUR 22-34 mains,Recommended,Dinner,"Long communal tables, wine bought off the shelf at retail-plus, kitchen that cooks with real punch. Closed Wed and Sun."
Traditional,Le Bistrot Bourguignon,Place Monge,The honest Burgundian bouchon — Menu Bourguignon 33 €,"œufs en meurette, bœuf bourguignon, andouillette sauce moutarde, entrecôte sauce Époisses",EUR 33 menu,Recommended,Lunch,"Chef Mickael Thibert; a wine list past 500 references in a small room. The canon dishes done straight, no folklore. Closed Sun–Mon."
Contemporary,La Table du Square,Boulevard Maréchal-Foch,Michelin Bib Gourmand (since 2024),the market menu — rewritten every fortnight,EUR 30-42 menu,Recommended,Lunch,"Chef Romain Escoffier. The best value-for-craft in Beaune by Michelin's own reckoning, a wine list past 1,000 labels. Closed Sun–Mon."
Drink,Loiseau des Vignes,Rue Maufoux,Bernard Loiseau group — the wine-by-the-glass bistro,œufs en meurette; pâté en croûte; 32 Burgundies poured by the glass from four oak cellars,EUR 40-70,Recommended,Dinner,"The Saulieu three-star group's Beaune address. The point is the glass list — 32 wines kept properly, the way to drink across the Côte in one sitting. Its gougères are a benchmark. Closed Sun–Mon."
Contemporary,Le Comptoir des Tontons,Faubourg Madeleine,Bistrot-épicerie — natural and biodynamic wine,"the seasonal organic market plates; taste a wine, then buy the bottle off the shelf",EUR 32-48 menu,Essential,Dinner,A small room of natural-wine conviction on the Madeleine faubourg. Reserve — there are not many seats.
Drink,Enstase,Centre — Rue Vergnette de Lamotte,Cave à manger — the natural-wine address of Beaune,"natural wine, cider and kefir; Thursday and Friday the kitchen opens — bao and elaborate small plates",EUR 6-15 glass,Walk-in,All day,"A room built entirely of natural materials, a low-intervention wine list, and a kitchen that wakes up at the week's end. The counter where young Beaune drinks."
Drink,Marché aux Vins,Centre — opposite the Hôtel-Dieu,Self-guided tasting cellar in the former Cordeliers church,Découverte (5 wines) 25 € or Prestige (7 wines) 49 € — taste as you walk the chapels,EUR 25-65,Walk-in,Morning,"Three intact Gothic chapels turned tasting cellar, vintages stored 40 years underground. Go at opening, 10:00 on a weekday, when the stone is cold and empty."
Cult,Patriarche Père & Fils,Centre — Rue du Collège,The largest cellars in Burgundy — 5 km of galleries,"the self-guided cellar visit with a tasting of 6 wines, 25 €",EUR 25 visit,Walk-in,All day,"Founded 1780, the galleries dug under a former Visitandine convent — around two million bottles ageing in the dark. The clearest sense of how much wine sleeps beneath Beaune. Verify hours before going."
Cult,Bouchard Père & Fils,Centre — Château de Beaune,Cellars inside a 15th-century royal fortress,the guided fortress-cellar visit and tasting; the Beaune Grèves 'Vigne de l'Enfant Jésus',EUR 35-90 visit,Recommended,Afternoon,"Bouchard took the Château de Beaune — built for Louis XI — in 1820; the cellars run 10 m into the rampart, holding 19th-century bottles. Book ahead; tours Tue–Sat."
Market,Marché des Halles (Saturday),Place de la Halle & Place Fleury,"The Saturday market — around 180 stalls, a real local event",Époisses and Cîteaux cheese; jambon persillé; Fallot mustard from the stand; autumn girolles,EUR variable,Walk-in,Morning,"07:00–13:00 across Place de la Halle, Place Fleury and the covered halls. Saturday is the big one; Wednesday is the quieter, food-only market. Producers down from the hill villages."
Cafe,Pâtisserie Fabien Berteau,Place Monge,The pâtisserie address of Beaune,"the seasonal-fruit cheesecake, the chef's signature; macarons; the morning viennoiserie",EUR 3-9,Walk-in,All day,Revised French classics and house-made ice cream. The tea room Le Garden opposite does an affordable lunch under a shaded summer terrace. Closed Wednesday.
