name,category,neighborhood,address,phone,lat,lng,tier,product_tags,recognition,what_to_order,price_range,reservation,best_time,notes,verdict,caveat,best_night,hot_this_month,source_tier,maps,still_open,last_verified,geo_precision
TURK Fatih Tütak,Grande Table,Istanbul,,,41.006381,28.975872,berth_top,Anatolian|Fine dining,★★ MICHELIN · Green Star (2026 edition),,,Weeks ahead,Dinner,,"The city's only two-star, and the most formally ambitious argument for Anatolian cooking as haute cuisine anywhere",★★ in the MICHELIN Guide Türkiye 2026,Wed,Took its Green Star in the 2026 edition,canon,https://www.google.com/maps/search/?api=1&query=TURK+Fatih+T%C3%BCtak+Istanbul,confirmed,2026-08-11,neighborhood
Mikla,Grande Table,Beyoğlu — roof of the Marmara Pera,,,41.031087,28.974017,berth_top,New Anatolian|Rooftop,★ MICHELIN,,,Weeks ahead,"Dinner, for the light",Chef Mehmet Gürs. The house that invented the phrase New Anatolian Kitchen and spent fifteen years proving it meant something.,The view is famous; the ingredient philosophy is why it lasted,★ in the MICHELIN Guide Türkiye 2026; top two floors of The Marmara Pera,Wed,,canon,https://www.google.com/maps/search/?api=1&query=Mikla+Istanbul,confirmed,2026-08-11,venue
Neolokal,Grande Table,Karaköy,,,41.023782,28.973476,berth_top,Modern Turkish|Sustainability,★ MICHELIN,,,Weeks ahead,Dinner,Chef Maksut Aşkar. Traditional Turkish dishes taken apart and rebuilt.,,⚠ EXACT BUILDING UNVERIFIED — sources disagree. Geocode before publishing.,Wed,,canon,https://www.google.com/maps/search/?api=1&query=Neolokal+Istanbul,confirmed,2026-08-11,venue
Nicole,Grande Table,Beyoğlu,,,41.030230,28.977828,berth_top,Fine dining,★ MICHELIN since 2022 · MICHELIN Service Award 2025,,,Weeks ahead,Dinner,Chef Serkan Aksoy.,"The room for when you want the whole performance right, not only the plates",★ in the MICHELIN Guide Türkiye 2026,Wed,,canon,https://www.google.com/maps/search/?api=1&query=Nicole+Istanbul,confirmed,2026-08-11,venue
Araka,Grande Table,"Yeniköy, up the Bosphorus",,,,,several,Fine dining|Bosphorus,★ MICHELIN,,,Ahead,Lunch — make the journey part of it,,Worth the drive north,★ in the MICHELIN Guide Türkiye 2026,Wed,,canon,https://www.google.com/maps/search/?api=1&query=Araka+Istanbul,confirmed,2026-08-11,none
Arkestra,Grande Table,Istanbul,,,41.006381,28.975872,several,,★ MICHELIN,,,Ahead,,,,★ in the MICHELIN Guide Türkiye 2026,Wed,,canon,https://www.google.com/maps/search/?api=1&query=Arkestra+Istanbul,confirmed,2026-08-11,neighborhood
Sankai by Nagaya,Grande Table,Istanbul,,,41.006381,28.975872,several,Japanese,★ MICHELIN,,,Ahead,,"Japanese, and genuinely so.",,★ in the MICHELIN Guide Türkiye 2026,Wed,,canon,https://www.google.com/maps/search/?api=1&query=Sankai+by+Nagaya+Istanbul,confirmed,2026-08-11,neighborhood
Araf İstanbul,Petite Table,Kadıköy,,,40.908528,29.286561,berth_top,Open fire|Offal|Counter,★ MICHELIN 2026,"whatever comes off the fire — offal first, then the large cuts",,"DIRECT CONTACT ONLY — no booking app, no agency",One seating a night,"Chefs Kenan Çetinkaya and Pınar Korgan Çetinkaya. Twelve seats, one open fire.","THE PICK. If you get in, you have had the defining meal of this decade in Istanbul",Twelve seats and one seating — any night is hard; midweek is the least impossible,Wed,Its star is eight months old and the room is the most wanted table in the city,canon,https://www.google.com/maps/search/?api=1&query=Araf+%C4%B0stanbul+Istanbul,confirmed,2026-08-11,venue
Çiya Sofrası,Petite Table,Kadıköy market,"Caferağa Mah., Güneşlibahçe Sok. No:43, Kadıköy, İstanbul",,40.989347,29.024429,berth_top,Anatolian|Regional|Daily menu,The World's 50 Best Discovery · Chef's Table,from the counter — take what you cannot identify,,,"Lunch, when the daily menu is fullest","Founded 1998 by Musa Dağdeviren. Forgotten regional recipes collected village by village: Azeri, Georgian, Arab, Armenian, Assyrian, Ottoman and Jewish dishes in their own traditions.",Not a restaurant so much as a field-recording project with a kitchen,"trading 2026; Güneşlibahçe Sk. No: 43, Kadıköy",Tue,,canon,https://www.google.com/maps/search/?api=1&query=%C3%87iya+Sofras%C4%B1+Istanbul,confirmed,2026-08-11,venue
Yanyalı Fehmi Lokantası,Petite Table,Kadıköy,"Osmanağa Mah., Yağlıkçı İsmail Sok. No:1, Kadıköy, 34714 İstanbul",,40.990765,29.025509,berth_top,Lokanta|Since 1919,Bib Gourmand 2026,,,,09:00–22:30 daily (closed the first two days of public holidays),"Founded 1919 by Fehmi Efendi, whose family migrated from Yanya (Ioannina) in Greece — 'Yanyalı' means 'from Yanya'. Third generation, still family-run. 140–150 different dishes a day.",The mirror image of the city's loss: the oldest surviving lokanta on the Asian side was founded by a family who came the OTHER way in the exchange,Bib Gourmand confirmed on the MICHELIN Guide's own listing,Tue,New Bib Gourmand in the 2026 selection,canon,https://www.google.com/maps/search/?api=1&query=Yanyal%C4%B1+Fehmi+Lokantas%C4%B1+Istanbul,confirmed,2026-08-11,venue
Agora Meyhanesi,Petite Table,Balat,,,41.033349,28.946504,several,Meyhane|Since 1890,,,,,Long dinner,Trading since 1890.,The meyhane as it was before the neighbourhood changed hands,trading seven days a week; own site agora1890.com,Thu,,reported,https://www.google.com/maps/search/?api=1&query=Agora+Meyhanesi+Istanbul,confirmed,2026-08-11,venue
Casius Antioch Kitchen,Petite Table,Cihangir,,,41.006381,28.975872,several,Antakya|Regional,Bib Gourmand 2026,,,,,"Antakya cooking in Istanbul, which after the 2023 earthquakes carries a weight it did not have before.",,Bib Gourmand confirmed on the MICHELIN Guide's own listing,Thu,New Bib Gourmand in the 2026 selection,canon,https://www.google.com/maps/search/?api=1&query=Casius+Antioch+Kitchen+Istanbul,confirmed,2026-08-11,neighborhood
Tam Ocakbaşı,Ocakbaşı,Arnavutköy,,,41.067658,29.043958,several,Ocakbaşı|Fire counter,,"liver first, then the skewers, then a lahmacun to close",,,Late dinner,Chef Türev Uludağ.,,⚠ Friday and Saturday evenings are very hard to get into — book ahead,Thu,Part of the 2026 modern-ocakbaşı wave,reported,https://www.google.com/maps/search/?api=1&query=Tam+Ocakba%C5%9F%C4%B1+Istanbul,confirmed,2026-08-11,venue
Mesai,Ocakbaşı,Gümüşsuyu,,,40.881684,29.284741,several,Ocakbaşı|Fire counter,,,,,Late dinner,"Ocakbaşı culture against a Bosphorus and Historic Peninsula view, running sunset into night.",,not cross-checked in this pass — do not publish as open,Thu,Part of the 2026 modern-ocakbaşı wave,reported,https://www.google.com/maps/search/?api=1&query=Mesai+Istanbul,confirmed,2026-08-11,venue
Çıra Ocakbaşı,Ocakbaşı,Sarıyer / Skyland,"Skyland, Huzur Mah., Azerbaycan Cad., D1 Blok No:4d, Sarıyer, İstanbul",,41.168580,29.057262,several,Ocakbaşı|Fire counter,,,,,Late dinner,,,not cross-checked in this pass — do not publish as open,Thu,Part of the 2026 modern-ocakbaşı wave,reported,https://www.google.com/maps/search/?api=1&query=%C3%87%C4%B1ra+Ocakba%C5%9F%C4%B1+Istanbul,confirmed,2026-08-11,neighborhood
