Category,Name,Neighborhood,Recognition,What_to_order,Price_range,Reservation,Best_time,Notes
Michelin,Disfrutar,L'Antiga Esquerra de l'Eixample,★★★ since 2024 · World's 50 Best #1 in 2024 · Michelin Green Star,"the tasting menu only — 30+ courses of textural illusions, ferments, and Mediterranean reinvention",EUR 315 menu (pairing +150–200),Essential — book 10–12 months ahead,Dinner Tue–Sat,"Xatruch + Castro + Casañas, all senior elBulli alumni. The hardest table in Spain. Closed Sun–Mon. The 'false dishes' (one thing tastes of another) are the signature trick."
Michelin,Lasarte,La Dreta de l'Eixample,★★★ (Martín Berasategui's Barcelona satellite under Paolo Casagrande),"the dinner tasting; or the weekday lunch (€225) — better value, same kitchen",EUR 345 dinner / EUR 225 lunch,"Essential, weeks ahead, dress code",Weekday lunch,"Inside the 5GL Monument Hotel. The 'Il Milione' private counter (8 seats, kitchen-front) is bookable separately. Berasategui himself doesn't cook here — Casagrande does."
Michelin,Enigma,Sant Antoni / Eixample border,★★ (promoted from ★ in November 2025 — the news of the 2026 guide),the 25-course tasting; dishes are not named until after you eat them,EUR 280 menu,"Wed–Fri eves only, book via enigmaconcept.es",Wednesday evening,"Albert Adrià — Ferran's brother, the elBarri group founder. Bodega 1900, Tickets, Pakta, Hoja Santa all closed in 2020; Enigma was the sole survivor. Now promoted to ★★ and the elBulli legacy lives most directly here."
Michelin,Cocina Hermanos Torres,Les Corts,★★★ + Michelin Green Star — the only triple-star in Barcelona with the sustainability award,"the theatrical tasting menu — three open cooking stations in the centre of the converted industrial space, you eat surrounded by the kitchen",EUR 310 menu,"Essential, months ahead — phone Mon–Fri 10–12 / 18–20",Dinner,Sergio + Javier Torres. Single most photogenic dining room of any starred restaurant in the city. The artichoke with truffle is canonical.
Michelin,Mont Bar,L'Eixample,★★ (promoted from ★ in November 2025 — most discussed promotion of the 2026 guide),sobrasada and Mahón cheese mochi; the sea-cucumber 'carbonara'; the creative pintxo opening series,EUR 190–240,Essential — counter seats are kitchen-front,Dinner,"Chef Fran Agudo, ex-Tickets (elBarri). The gastrobar format reaches ★★ — a Barcelona statement."
Michelin,Aleia,Passeig de Gràcia (Hotel Casa Fuster),★★ (promoted from ★ in November 2025),the ingredient-led seasonal tasting — pared-back plates that let produce speak,EUR 200 menu,Via hotel or TheFork,Dinner,"Chefs Paulo Airaudo (Italo-Argentine) + Rafa de Bedoya (Jerez). Inside Hotel Casa Fuster, a 1908 Domènech i Montaner Modernista building."
Contemporary,Bar Cañete,El Raval,Michelin recommended — the canonical Raval table,"anchoas de Santoña (Cantabrian anchovies), gamba de Palamós (the great prawn — €19–22), fideuà Cañete, the pa amb tomàquet",EUR 35–55,Essential at dinner; counter seats for the kitchen view,Lunch Thu–Sat,Two blocks from the Liceu. The ringside counter is the best seat. Tapas €5–20 each.
Contemporary,Cinc Sentits,La Nova Esquerra de l'Eixample,★ — small-producer Catalan,"the Tasting (longer) or Essence (shorter) menu — pa amb tomàquet sequence, Penedès wine pairing",EUR 185–219,Book 3–4 weeks ahead at cincsentits.com,Dinner,"Jordi Artal, Canadian-Catalan, self-taught. The relationships with small Catalan producers (cheese, oil, vegetables) are the spine."
Traditional,Can Culleretes,Barri Gòtic,"Founded 1786 — oldest restaurant in Catalonia, second oldest in Spain (Guinness-recognised)","escudella i carn d'olla (the ur-Catalan meat-and-veg stew), botifarra amb mongetes, canelons d'espinacs amb brandada de bacallà, civet de porc senglar, crema catalana",EUR 25–35 / menu del dia EUR 15–18,Recommended weekends,Lunch Tue–Sun,"Agut Manubens family, continuously since 1786. Bib Gourmand 2026. Closed Monday."
Traditional,7 Portes (Set Portes),Port Vell,Since 1836 — the paella institution; the Paella Parellada was invented here,"Paella Parellada (boneless meat + shellfish, the house classic), arròs amb llagosta, fideuà, suquet de peix",EUR 40,Via 7portes.com,Dinner — the piano sets,Daily 13:00–01:00 (continuous service). The 19th-century vaulted dining room with name-plates of historic patrons is the experience.
