name,category,neighborhood,address,phone,lat,lng,tier,product_tags,recognition,what_to_order,price_range,reservation,best_time,notes,verdict,caveat,best_night,hot_this_month,source_tier,maps,still_open,last_verified,geo_precision
TURK Fatih Tütak,Grande Table,"Bomonti, Şişli","Cumhuriyet Hacıahmet Mah., Silahşör Cad., Yeniyol Sok. No:2, 34440 Şişli, İstanbul",+90 530 051 83 04,,,berth_top,Anatolian|Fine dining,★★ MICHELIN · Green Star (2026 edition),Twelve-course micro-seasonal tasting menu|The five coastal towns plate|Chef's table,"₺₺₺₺ — twelve-course tasting only; the house publishes no price, and MICHELIN bands it at its top tier","Direct only — the restaurant manages its own bookings, by email (reservations@turkft.com) or phone. Tables capped at five people. No à la carte, no ingredient removals, and the kitchen states flatly it cannot do vegan, vegetarian or gluten-free menus.",Dinner — there is only one seating,,"The city's only two-star, and the most formally ambitious argument for Anatolian cooking as haute cuisine anywhere",★★ in the MICHELIN Guide Türkiye 2026,Wednesday,Took its Green Star in the 2026 edition,canon,https://www.google.com/maps/search/?api=1&query=TURK+Fatih+T%C3%BCtak+Istanbul,confirmed,2026-08-15,none
Mikla,Grande Table,Beyoğlu — roof of the Marmara Pera,"The Marmara Pera, Meşrutiyet Caddesi No:15, 18th floor, Tepebaşı, 34430 Beyoğlu, İstanbul",+90 212 293 56 56,41.031087,28.974017,berth_top,New Anatolian|Rooftop,★ MICHELIN,Smoked lamb loin|Fried hamsi|Mikla Tasting|Vegan tasting,"₺₺₺₺ — Mikla Tasting (six courses) ₺10,500; vegan tasting (seven courses) ₺9,600; three-course prix fixe ₺8,500. Wine pairings with the tasting ₺5,500 or ₺8,000; a three-glass à la carte pairing ₺3,200. VAT included, service extra (house menu read August 2026).","Online; confirmation comes by email. Cancel at least eight hours ahead, and arrive on time — the house cancels the table thirty minutes after your slot.",Sit down by 19:30 for the light; the kitchen stops taking food orders at 21:30,Chef Mehmet Gürs. The house that invented the phrase New Anatolian Kitchen and spent fifteen years proving it meant something.,The view is famous; the ingredient philosophy is why it lasted,★ in the MICHELIN Guide Türkiye 2026; top two floors of The Marmara Pera,Wednesday,,canon,https://www.google.com/maps/search/?api=1&query=Mikla+Istanbul,confirmed,2026-08-15,venue
Neolokal,Grande Table,Karaköy,"SALT Galata, Arap Camii Mah., Bankalar Caddesi No:11, Karaköy, 34420 Beyoğlu, İstanbul",+90 212 244 00 16,41.023782,28.973476,berth_top,Modern Turkish|Sustainability,★ MICHELIN,Three- or six-course tasting menu|Seared haddock|The house baklava|The Turkish wine pairing,"₺₺₺₺ — three- and six-course tasting menus. The house publishes no price; The World's 50 Best Discovery puts the average at about $143 a head, and MICHELIN bands it at its top tier.","Online through the house site, or by phone — landline +90 212 244 00 16, mobile +90 551 447 45 45. Vegetarian versions of the menus on request. Valet parking.","Dinner, early enough to get the light on the Golden Horn",Chef Maksut Aşkar. Traditional Turkish dishes taken apart and rebuilt.,"Traditional Turkish dishes taken apart and rebuilt, with a sustainability argument the guide has endorsed twice over — the Star, and a Green Star it has carried since 2022. This is the least showy of the city's starred kitchens and the most explicitly preservationist: the point is the recipe that was disappearing, not the technique on top of it. Expect a full evening and a full bill, and take the wine pairing seriously — it is the part the guide singled out.",Sources disagree on the exact entrance within the SALT Galata block — follow the venue's own directions on arrival rather than a map pin.,Wednesday,,canon,https://www.google.com/maps/search/?api=1&query=Neolokal+Istanbul,confirmed,2026-08-15,venue
Nicole,Grande Table,Beyoğlu,"Tomtom Suites, Firuzağa Mah., Boğazkesen Cad. No:18 / Tomtom Kaptan Sok., 34425 Beyoğlu, İstanbul",+90 212 292 44 67,41.03023,28.977828,berth_top,Fine dining,★ MICHELIN since 2022 · MICHELIN Service Award 2025,Tasting Menu No.1|Tasting Menu No.2|Kedi Batmaz|Catch of the day,"₺₺₺₺ — Menu No.1 ₺8,100 per head (wine pairing ₺4,700, beer ₺3,100); Menu No.2 ₺7,500 (wine ₺3,900, beer ₺2,250). VAT included; house menu last updated 28 July 2026.","Online booking. Vegetarian menus on request, but note the two house rules: everyone at the table takes a menu of the same length, and dishes are not altered — several contain onion, garlic and pepper.",Sit down before 20:30 if you want the longer Menu No.1,Chef Serkan Aksoy.,"The room for when you want the whole performance right, not only the plates",★ in the MICHELIN Guide Türkiye 2026,Wednesday,,canon,https://www.google.com/maps/search/?api=1&query=Nicole+Istanbul,confirmed,2026-08-15,venue
Araka,Grande Table,"Yeniköy, up the Bosphorus","Kapalı Bakkal Sokak No:8, Yeniköy, Sarıyer, 34464 İstanbul",+90 533 392 72 23,,,several,Fine dining|Bosphorus,★ MICHELIN,Seasonal vegetable-led menu,"₺₺₺ — tasting-led; the house publishes no price, and MICHELIN bands it as a special-occasion spend rather than its top tier","Online through the house booking system, or by phone. There is a garden terrace at the back as well as the interior.",Lunch — make the drive up the European shore part of the day,,Worth the drive north,"★ in the MICHELIN Guide Türkiye 2026 A limited run, not a permanent fixture — check the end date before you plan around it.",Wednesday,,canon,https://www.google.com/maps/search/?api=1&query=Araka+Istanbul,time_limited,2026-08-15,none
Arkestra,Grande Table,"Etiler, Beşiktaş","Etiler, Dilhayat Sokak No:28, Beşiktaş, 34337 İstanbul",+90 212 970 72 73,,,several,,★ MICHELIN,Tuna sashimi|Sea bass|The Listening Room|Ritmo,₺₺₺₺ — à la carte and a chef's-table menu; prices sit inside downloadable PDFs rather than on the page,Online at guest.rezervem.com.tr/Arkestra — live and linked from the house site — or by phone,"Dinner, then upstairs to the Listening Room for the last hour",,"The new guard's most confident room: French technique with global reach, a star awarded in the 2024 guide and held through 2026, and a building that lets you eat, drink and listen without leaving. It is a young kitchen still arguing its case rather than a settled institution — Gault&Millau Türkiye reads it noticeably lower than MICHELIN does. Etiler puts it a taxi ride from anywhere on the historic side, which is the real cost.",★ in the MICHELIN Guide Türkiye 2026,Wednesday,,canon,https://www.google.com/maps/search/?api=1&query=Arkestra+Istanbul,confirmed,2026-08-15,none
Sankai by Nagaya,Grande Table,"Bebek, Beşiktaş","Bebek Hotel, Cevdet Paşa Caddesi No:34, third floor, Bebek, 34342 Beşiktaş, İstanbul",+90 532 379 19 97,,,several,Japanese,★ MICHELIN,Seasonal kaiseki tasting|Edomae sushi counter,"₺₺₺₺ — two seasonal tasting menus, no à la carte; the house publishes no price, and MICHELIN bands it at its top tier",⚠ No working booking channel found on 15 August 2026. Phone is the only route we can stand behind.,"Early evening, while there is still light on the water","Japanese, and genuinely so.","Genuinely Japanese, not Japanese-adjacent: two seasonal tasting menus, twenty-four seats, and a sushi counter run by its own head sushi chef rather than by the executive chef's proxy. The Bosphorus at Bebek is the local ingredient. But treat everything about visiting as provisional — the operator has gone quiet online, and a MICHELIN listing published in December 2025 is not proof that a room is serving dinner tonight.",★ in the MICHELIN Guide Türkiye 2026 Not re-confirmed as trading when we checked on 2026-08-15 — call ahead before you cross the city for it.,Wednesday,,canon,https://www.google.com/maps/search/?api=1&query=Sankai+by+Nagaya+Istanbul,unverified,2026-08-15,none
Araf İstanbul,Petite Table,Kadıköy,"19 Mayıs Mah., Sümer Sok., Sümko Sitesi N Blok No:1, AG/E iç kapı No:2, Kadıköy, 34742 İstanbul",+90 533 969 27 23,40.908528,29.286561,berth_top,Open fire|Offal|Counter,★ MICHELIN 2026,Whatever comes off the fire|Large cuts,"₺₺₺ — à la carte, roughly ₺600–₺2,200 a plate (skirt steak ₺4,000 a kilo), plus 12% service; MICHELIN bands it as a moderate spend","Through the house site, which links a live booking system, or by phone (+90 533 969 27 23), email info@arafistanbul.com or Instagram. Not on OpenTable, Resy or SevenRooms.",The start of service — the counter is small and the window is only three hours,"Chefs Kenan Çetinkaya and Pınar Korgan Çetinkaya. Twelve seats, one open fire.","THE PICK. If you get in, you have had the defining meal of this decade in Istanbul",Twelve seats and one seating — any night is hard; midweek is the least impossible,Wednesday,Its star is eight months old and the room is the most wanted table in the city,canon,https://www.google.com/maps/search/?api=1&query=Araf+%C4%B0stanbul+Istanbul,confirmed,2026-08-15,venue
Çiya Sofrası,Petite Table,Kadıköy market,"Caferağa Mah., Güneşlibahçe Sok. No:43, Kadıköy, İstanbul",+90 216 418 51 15,40.989347,29.024429,berth_top,Anatolian|Regional|Daily menu,The World's 50 Best Discovery · Chef's Table,From the counter,₺ — The World's 50 Best Discovery puts the average at about $10 a head,Walk in. A lokanta of this kind does not take bookings and does not need to.,"Lunch, when the day's pots are fullest and before the market crowd","Founded 1998 by Musa Dağdeviren. Forgotten regional recipes collected village by village: Azeri, Georgian, Arab, Armenian, Assyrian, Ottoman and Jewish dishes in their own traditions.",Not a restaurant so much as a field-recording project with a kitchen,"trading 2026; Güneşlibahçe Sk. No: 43, Kadıköy",Tuesday,,canon,https://www.google.com/maps/search/?api=1&query=%C3%87iya+Sofras%C4%B1+Istanbul,confirmed,2026-08-15,venue
Yanyalı Fehmi Lokantası,Petite Table,Kadıköy,"Osmanağa Mah., Yağlıkçı İsmail Sok. No:1, Kadıköy, 34714 İstanbul",+90 216 336 33 33,40.990765,29.025509,berth_top,Lokanta|Since 1919,Bib Gourmand 2026,Yanya köftesi|The daily counter,"₺ — MICHELIN files it as ""on a budget""; point-and-pay lokanta pricing",Walk in.,Lunch — the counter is at its fullest and the good pots have not gone,"Founded 1919 by Fehmi Efendi, whose family migrated from Yanya (Ioannina) in Greece — 'Yanyalı' means 'from Yanya'. Third generation, still family-run. 140–150 different dishes a day.",The mirror image of the city's loss: the oldest surviving lokanta on the Asian side was founded by a family who came the OTHER way in the exchange,Bib Gourmand confirmed on the MICHELIN Guide's own listing,Tuesday,New Bib Gourmand in the 2026 selection,canon,https://www.google.com/maps/search/?api=1&query=Yanyal%C4%B1+Fehmi+Lokantas%C4%B1+Istanbul,confirmed,2026-08-15,venue
