name,category,neighborhood,address,phone,lat,lng,tier,product_tags,recognition,what_to_order,price_range,reservation,best_time,notes,verdict,caveat,best_night,hot_this_month,source_tier,maps,still_open,last_verified,geo_precision
Ali Barbour's Cave Restaurant,SEAFOOD,Diani central,"off Diani Beach Road, Ukunda",+254 714 456 131,-4.313179,39.5768773,THE CAVE,Cave · Since 1983,,Vasco Da Gama platter (for two) · Lobster Thermidor · Kilifi rock oysters · Whisky-flambéed prawns,"Starters KES 1,100–1,650 · mains 2,950–6,000 (obs. 2026-08)","Required — email or phone, days ahead in season; courtesy transfers from Diani hotels","Dry-season night, 20:30 seating, under the open cave mouth",,"Book it for the room and the sky — the cooking is confident classic seafood, not modern fine dining, and that is fine.","No children under 6, none under 12 at the late seating; smart casual enforced. The old alibarbours.co domain is dead — the live site is alibarbours.com.",,,reported,https://www.google.com/maps/search/?api=1&query=Ali+Barbour%27s+Cave+Restaurant+Diani,confirmed,2026-08-20,exact
Nomad Beach Bar & Restaurant,BEACH,Diani central-south,"Nomad Road, off Diani Beach Road",,-4.3269123,39.5727386,ALL-DAY,Sushi · Wood-fire,,Sushi platter · Grilled seafood platter · Swahili grilled fish · Wood-fired Frutti di Mare,"Mains KES 1,800–4,300, pizza 900–2,400 (menu Jun 2026, taxes in)",Walk-in at lunch; book weekend dinners,Sunset drinks rolling into dinner on the sand; Sunday is the social scene,,"The default good answer on the strip: guests happy, chef fed, nobody overdressed.","Big, busy resort beach bar — peak-season weekends run loud and service stretches.",,,reported,https://www.google.com/maps/search/?api=1&query=Nomad+Beach+Bar+Diani,confirmed,2026-06-15,exact
Sails Beach Bar & Restaurant,FINE,Galu,"Almanara Luxury Resort, Diani Beach Road, Galu",+254 711 852 026,-4.3526157,39.5630597,THE SAILS,Own farm · Own boat,,Zanzibar snapper · Ginger crab · Tuna carpaccio · Kilifi oysters,Top band ($$$$ per EatOut); KES unpublished,Book ahead — +254 711 852 026 or info@almanararesort.com,Golden hour — the sails catch the last light; full-moon nights for beach dinners,,"Diani's priciest table after the cave, and the one that photographs like the brochure promised.",No menu prices published anywhere — ask before ordering the platter. Confirm hours by phone.,,,reported,https://www.google.com/maps/search/?api=1&query=Sails+Beach+Bar+Almanara+Diani,confirmed,2026-08-20,exact
Waterlovers — Tides Restaurant,MED,Diani central,"Waterlovers Beach Resort, Diani Beach Road",+254 706 943 216,-4.308105,39.5806935,DAILY MENU,Handmade pasta,,Daily-changing menu · Handmade pasta,Unpublished — boutique band,"Call/WhatsApp +254 706 943 216 — small room, residents get priority",Dinner on the pool deck over the ocean,,"Book it when you want the small, careful version of the resort dinner.","A resident-first dining room, not a destination restaurant — WhatsApp the same morning.",,,reported,https://www.google.com/maps/search/?api=1&query=Waterlovers+Beach+Resort+Diani,confirmed,2026-08-20,exact
Kinondo Kwetu (house table),HOUSE,Kinondo / Galu south,,+254 710 989 030,-4.3888025,39.5494912,BY ARRANGEMENT,Kaya side · Since 2005,,Fresh-catch seafood dinner · Sundowner on the water tower,All-inclusive house rates,Prior arrangement essential — bookings@kinondo-kwetu.com,A pre-arranged lunch when passing Kinondo; or book the stay,,"The most beautiful room on the south coast, and you only truly get it as a guest.","Not a restaurant: no menu, no prices, no walk-ins. Call or email first, always.",,,reported,https://www.google.com/maps/search/?api=1&query=Kinondo+Kwetu+Galu+Kenya,confirmed,2026-08-18,exact
The Maji Beach Boutique Hotel,HOUSE,Diani north,,+254 792 953 007,-4.2772336,39.5950249,NO CLOCK,Adults-only,,Daily ocean fish · Candlelit gazebo dinner,Unpublished — boutique band,Phone +254 792 953 007 / reservations@the-maji.com,A long candlelit dinner on the pool deck — book that morning,,For the guest who wants the hotel to bend around them; call before promising it to anyone.,"Adults only, and outside dining unconfirmed — never just walk in.",,,reported,https://www.google.com/maps/search/?api=1&query=The+Maji+Beach+Boutique+Hotel+Diani,confirmed,2026-08-20,exact
Msambweni Beach House,HOUSE,Msambweni,,+254 723 697 346,-4.4797754,39.4771664,FAR SOUTH,Swahili villa,,"Swahili seafood, Belgian-French technique · Private beach dinner",Unpublished,"Phone +254 723 697 346 / Info@mbh.co.ke, ahead",Long lunch on a Funzi/Msambweni exploring day,,Worth a long lunch if you are already exploring Msambweni–Funzi country; too far for a casual dinner run.,"Realistically guests-only unless pre-arranged, 45+ minutes south of the strip.",,,reported,https://www.google.com/maps/search/?api=1&query=Msambweni+Beach+House+Kenya,confirmed,2026-08-20,approx
Chale Island Resort (The Sands at Chale),ISLAND,Chale Island,,+254 709 538 880,-4.44495,39.53431,THE ISLAND,Private isle · Kaya side,,Eli's Trattoria wood-fired table · Katika Ziwa seafood,Resort packages; day terms unpublished,Phone +254 709 538 880 ahead; no independent arrival,Arranged day visit timed to the tides; the overwater bar at sundown,,"Go for the island hour, stay for the strangeness of a resort sharing a rock with a shrine.","Day access is the honest unknown: past visitors report day passes, the resort publishes nothing — phone before driving down.",,,reported,https://www.google.com/maps/search/?api=1&query=Chale+Island+Resort+Kenya,confirmed,2026-08-20,exact
Leonardo's (Leonardo il Ristorante),ITALIAN,Diani north,Diani Beach Road (Colliers Centre stretch),+254 720 501 707,-4.2877255,39.5869355,THE ANCHOR,Wood oven · Since ~2004,,Wood-fired Margherita · Linguine Indian Ocean · Gelato · Tiramisu della casa,$$$ (EatOut banding),Book for dinner in season; walk-in lunch,Dinner in the garden; gelato mid-afternoon,,"The reliable Italian dinner of the strip, and the correct afternoon gelato stop.","Roadside garden, not on the sand — go for the food, not a view.",,,reported,https://www.google.com/maps/search/?api=1&query=Leonardo%27s+Restaurant+Diani+Beach,confirmed,2026-08-20,exact
Aniello's Ristorante Pizzeria,ITALIAN,Diani north,,,-4.288738,39.586456,MOM & POP,Wood oven,,Wood-fired pizza · Fish of the day,Mid-range (undated),Walk-in,Dinner,,"The local's Italian — checked by reputation, not by paperwork.",Could not be verified as currently trading with dated evidence — phone or drive by before a special trip.,,,reported,https://www.google.com/maps/search/?api=1&query=Aniello%27s+Diani+Beach,unverified,2026-08-20,exact
Non Solo Gelato (Diani),GELATO,Diani north (Centre Point Plaza),,,-4.290829,39.585272,NEW 2026,Illy · Est. 2014,,Artisan gelato · Piadina / focaccia,Mid (unpublished),Walk-in,Morning coffee; gelato after the beach,,Brand-new here; the Watamu original carries the track record.,"Opened July 2026 — expect teething, and no published hours yet.",,,reported,https://www.google.com/maps/search/?api=1&query=Non+Solo+Gelato+Diani+Centre+Point,confirmed,2026-07-10,approx
